"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Jung, Josh","673962","2023","515","329",0.266,0.26,0.006000000000000005,0.467,0.482,-0.014999999999999958,0.334,0.337,-0.0030000000000000027
"Garcia, Maikel","672580","2023","515","360",0.272,0.274,-0.0020000000000000018,0.358,0.393,-0.03500000000000003,0.299,0.319,-0.020000000000000018
"Hernández, Enrique","571771","2023","508","374",0.237,0.224,0.012999999999999984,0.357,0.337,0.019999999999999962,0.282,0.272,0.009999999999999953
"Canha, Mark","592192","2023","507","362",0.262,0.248,0.014000000000000012,0.4,0.381,0.019000000000000017,0.333,0.323,0.010000000000000009
"Nootbaar, Lars","663457","2023","503","331",0.261,0.265,-0.0040000000000000036,0.418,0.436,-0.018000000000000016,0.344,0.356,-0.01200000000000001
"Casas, Triston","671213","2023","502","305",0.263,0.253,0.010000000000000009,0.49,0.5,-0.010000000000000009,0.367,0.37,-0.0030000000000000027
"Heim, Jonah","641680","2023","501","364",0.258,0.256,0.0020000000000000018,0.438,0.435,0.0030000000000000027,0.324,0.324,0
"Lowe, Josh","666139","2023","501","345",0.292,0.276,0.01599999999999996,0.5,0.48,0.020000000000000018,0.354,0.341,0.012999999999999956
"Ruiz, Esteury","665923","2023","497","355",0.254,0.234,0.01999999999999999,0.345,0.316,0.02899999999999997,0.29,0.271,0.01899999999999996
"Alvarez, Yordan","670541","2023","496","322",0.293,0.3,-0.007000000000000006,0.583,0.626,-0.04300000000000004,0.415,0.438,-0.02300000000000002
"Naylor, Josh","647304","2023","495","391",0.308,0.293,0.015000000000000013,0.489,0.478,0.01100000000000001,0.354,0.346,0.008000000000000007
"Perdomo, Geraldo","672695","2023","495","339",0.246,0.204,0.04200000000000001,0.359,0.272,0.08699999999999997,0.319,0.275,0.043999999999999984
"Contreras, Willson","575929","2023","495","320",0.264,0.279,-0.015000000000000013,0.467,0.49,-0.022999999999999965,0.358,0.373,-0.015000000000000013
"Noda, Ryan","676116","2023","495","238",0.229,0.213,0.016000000000000014,0.406,0.392,0.014000000000000012,0.342,0.334,0.008000000000000007
"Dubón, Mauricio","643289","2023","492","400",0.278,0.275,0.0030000000000000027,0.411,0.389,0.021999999999999964,0.311,0.303,0.008000000000000007
"Kepler, Max","596146","2023","491","336",0.26,0.271,-0.01100000000000001,0.484,0.503,-0.019000000000000017,0.348,0.362,-0.014000000000000012
"Franco, Wander","677551","2023","491","377",0.281,0.3,-0.01899999999999996,0.475,0.484,-0.009000000000000008,0.349,0.364,-0.015000000000000013
"Langeliers, Shea","669127","2023","490","308",0.205,0.213,-0.008000000000000007,0.413,0.426,-0.013000000000000012,0.29,0.3,-0.010000000000000009
"Jiménez, Eloy","650391","2023","489","365",0.272,0.258,0.014000000000000012,0.441,0.426,0.015000000000000013,0.325,0.314,0.01100000000000001
"García, Luis","671277","2023","482","395",0.266,0.263,0.0030000000000000027,0.385,0.404,-0.019000000000000017,0.297,0.308,-0.01100000000000001
"Pham, Tommy","502054","2023","481","326",0.256,0.284,-0.02799999999999997,0.446,0.475,-0.02899999999999997,0.332,0.361,-0.02899999999999997
"Martinez, J.D.","502110","2023","479","292",0.271,0.271,0,0.572,0.553,0.018999999999999906,0.369,0.369,0
"McCutchen, Andrew","457705","2023","473","294",0.256,0.257,-0.0010000000000000009,0.397,0.409,-0.011999999999999955,0.345,0.353,-0.008000000000000007
"Joe, Connor","656582","2023","472","304",0.247,0.248,-0.0010000000000000009,0.421,0.404,0.01699999999999996,0.332,0.329,0.0030000000000000027
"Marsh, Brandon","669016","2023","472","265",0.277,0.234,0.04300000000000001,0.458,0.391,0.067,0.358,0.322,0.035999999999999976
"Grichuk, Randal","545341","2023","471","340",0.267,0.263,0.0040000000000000036,0.459,0.425,0.03400000000000003,0.333,0.323,0.010000000000000009
"Mountcastle, Ryan","663624","2023","470","323",0.27,0.273,-0.0030000000000000027,0.452,0.503,-0.05099999999999999,0.333,0.356,-0.022999999999999965
"Conforto, Michael","624424","2023","470","304",0.239,0.245,-0.006000000000000005,0.384,0.416,-0.03199999999999997,0.315,0.33,-0.015000000000000013
"Walker, Jordan","691023","2023","465","318",0.276,0.267,0.009000000000000008,0.445,0.426,0.019000000000000017,0.341,0.332,0.009000000000000008
"Gorman, Nolan","669357","2023","464","260",0.236,0.237,-0.0010000000000000009,0.478,0.498,-0.020000000000000018,0.345,0.354,-0.009000000000000008
"Massey, Michael","686681","2023","461","334",0.229,0.26,-0.031,0.381,0.432,-0.05099999999999999,0.283,0.319,-0.03600000000000003
"Carpenter, Kerry","681481","2023","459","304",0.278,0.258,0.020000000000000018,0.471,0.46,0.010999999999999954,0.347,0.336,0.010999999999999954
"Judge, Aaron","592450","2023","458","240",0.267,0.289,-0.021999999999999964,0.613,0.712,-0.09899999999999998,0.42,0.461,-0.041000000000000036
"McCormick, Chas","676801","2023","457","289",0.273,0.246,0.027000000000000024,0.489,0.457,0.03199999999999997,0.362,0.341,0.020999999999999963
"Cooper, Garrett","643265","2023","457","292",0.251,0.252,-0.0010000000000000009,0.419,0.43,-0.01100000000000001,0.313,0.318,-0.0050000000000000044
"Mullins, Cedric","656775","2023","455","310",0.233,0.226,0.007000000000000006,0.416,0.352,0.064,0.311,0.289,0.02200000000000002
"Brennan, Will","686823","2023","455","377",0.266,0.286,-0.019999999999999962,0.356,0.378,-0.02200000000000002,0.285,0.305,-0.020000000000000018
"Frazier, Adam","624428","2023","455","350",0.24,0.261,-0.02100000000000002,0.396,0.361,0.03500000000000003,0.302,0.301,0.0010000000000000009
"Flores, Wilmer","527038","2023","454","345",0.284,0.256,0.02799999999999997,0.509,0.437,0.07200000000000001,0.368,0.333,0.034999999999999976
"Solano, Donovan","456781","2023","450","295",0.282,0.284,-0.0020000000000000018,0.391,0.429,-0.03799999999999998,0.338,0.351,-0.012999999999999956
"Turang, Brice","668930","2023","448","315",0.218,0.224,-0.006000000000000005,0.3,0.321,-0.02100000000000002,0.262,0.274,-0.01200000000000001
"Rengifo, Luis","650859","2023","445","316",0.264,0.246,0.018000000000000016,0.444,0.403,0.04099999999999998,0.339,0.323,0.016000000000000014
"Call, Alex","669743","2023","439","302",0.2,0.214,-0.013999999999999985,0.307,0.335,-0.028000000000000025,0.28,0.296,-0.01599999999999996
"Duran, Ezequiel","677649","2023","439","289",0.276,0.256,0.020000000000000018,0.443,0.434,0.009000000000000008,0.33,0.32,0.010000000000000009
"Murphy, Sean","669221","2023","438","273",0.251,0.274,-0.02300000000000002,0.478,0.537,-0.05900000000000005,0.366,0.395,-0.029000000000000026
"Lowe, Brandon","664040","2023","436","261",0.231,0.235,-0.003999999999999976,0.443,0.449,-0.006000000000000005,0.334,0.341,-0.007000000000000006
"Ramírez, Harold","623912","2023","434","327",0.313,0.271,0.04199999999999998,0.46,0.413,0.04700000000000004,0.349,0.319,0.02999999999999997
"Doyle, Brenton","686668","2023","431","254",0.203,0.2,0.0030000000000000027,0.343,0.344,-0.0009999999999999454,0.257,0.258,-0.0010000000000000009
"Peterson, Jace","607054","2023","430","278",0.211,0.216,-0.0050000000000000044,0.307,0.332,-0.025000000000000022,0.275,0.287,-0.011999999999999955
"Morel, Christopher","666624","2023","429","258",0.247,0.247,0,0.508,0.489,0.019000000000000017,0.347,0.343,0.003999999999999948
"De La Cruz, Elly","682829","2023","427","246",0.235,0.24,-0.0050000000000000044,0.41,0.391,0.01899999999999996,0.305,0.303,0.0020000000000000018
"Pederson, Joc","592626","2023","425","272",0.235,0.264,-0.029000000000000026,0.416,0.481,-0.065,0.331,0.366,-0.034999999999999976
"Jones, Nolan","666134","2023","424","242",0.297,0.249,0.04799999999999999,0.542,0.499,0.04300000000000004,0.395,0.362,0.03300000000000003
"Berti, Jon","542932","2023","424","316",0.294,0.281,0.012999999999999956,0.405,0.411,-0.00599999999999995,0.325,0.324,0.0010000000000000009
"Rojas, Miguel","500743","2023","423","344",0.236,0.252,-0.016000000000000014,0.322,0.338,-0.016000000000000014,0.271,0.288,-0.01699999999999996
"Alvarez, Francisco","682626","2023","423","273",0.209,0.209,0,0.437,0.422,0.015000000000000013,0.31,0.305,0.0050000000000000044
"Peralta, David","444482","2023","422","328",0.259,0.274,-0.015000000000000013,0.381,0.4,-0.019000000000000017,0.29,0.309,-0.019000000000000017
"Kirk, Alejandro","672386","2023","422","329",0.25,0.256,-0.006000000000000005,0.358,0.386,-0.028000000000000025,0.308,0.32,-0.01200000000000001
"Rizzo, Anthony","519203","2023","421","277",0.244,0.246,-0.0020000000000000018,0.378,0.393,-0.015000000000000013,0.312,0.319,-0.007000000000000006
"Grossman, Robbie","543257","2023","420","263",0.238,0.224,0.013999999999999985,0.394,0.35,0.04400000000000004,0.323,0.306,0.017000000000000015
"Gomes, Yan","543228","2023","419","308",0.267,0.262,0.0050000000000000044,0.408,0.409,-0.0010000000000000009,0.312,0.321,-0.009000000000000008
"Kemp, Tony","643393","2023","419","329",0.209,0.241,-0.032,0.304,0.321,-0.017000000000000015,0.276,0.297,-0.020999999999999963
"Greene, Riley","682985","2023","416","266",0.288,0.289,-0.0010000000000000009,0.447,0.499,-0.05199999999999999,0.344,0.365,-0.02100000000000002
"Kelenic, Jarred","672284","2023","416","242",0.253,0.264,-0.01100000000000001,0.419,0.435,-0.016000000000000014,0.321,0.333,-0.01200000000000001
"Stanton, Giancarlo","519317","2023","415","248",0.191,0.219,-0.027999999999999997,0.42,0.462,-0.04200000000000004,0.297,0.325,-0.028000000000000025
"Blackmon, Charlie","453568","2023","413","308",0.279,0.269,0.010000000000000009,0.44,0.406,0.033999999999999975,0.35,0.339,0.010999999999999954
"Altuve, Jose","514888","2023","410","290",0.311,0.245,0.066,0.522,0.419,0.10300000000000004,0.393,0.331,0.062
"Wiemer, Joey","686894","2023","410","253",0.204,0.209,-0.0050000000000000044,0.362,0.37,-0.008000000000000007,0.284,0.289,-0.0050000000000000044
"Castro, Willi","650489","2023","409","264",0.257,0.234,0.022999999999999993,0.411,0.365,0.045999999999999985,0.327,0.304,0.02300000000000002
"Ward, Taylor","621493","2023","409","282",0.253,0.254,-0.0010000000000000009,0.421,0.43,-0.009000000000000008,0.329,0.338,-0.009000000000000008
"Julien, Edouard","666397","2023","408","214",0.263,0.233,0.03,0.459,0.427,0.03200000000000003,0.366,0.345,0.02100000000000002
"Kiermaier, Kevin","595281","2023","408","289",0.265,0.259,0.006000000000000005,0.419,0.354,0.065,0.32,0.3,0.020000000000000018
"Maldonado, Martín","455117","2023","407","235",0.191,0.187,0.0040000000000000036,0.348,0.357,-0.009000000000000008,0.266,0.267,-0.0010000000000000009
"Raley, Luke","670042","2023","406","232",0.249,0.225,0.023999999999999994,0.49,0.437,0.05299999999999999,0.353,0.327,0.025999999999999968
"Andrus, Elvis","462101","2023","406","306",0.251,0.231,0.01999999999999999,0.358,0.313,0.044999999999999984,0.29,0.267,0.022999999999999965
"Grandal, Yasmani","518735","2023","405","279",0.234,0.222,0.01200000000000001,0.339,0.332,0.007000000000000006,0.288,0.282,0.006000000000000005
"Laureano, Ramón","657656","2023","404","248",0.224,0.232,-0.008000000000000007,0.371,0.379,-0.008000000000000007,0.298,0.307,-0.009000000000000008
"Belt, Brandon","474832","2023","404","200",0.254,0.212,0.04200000000000001,0.49,0.437,0.05299999999999999,0.369,0.336,0.032999999999999974
"Wong, Connor","657136","2023","403","241",0.235,0.211,0.023999999999999994,0.385,0.361,0.02400000000000002,0.292,0.274,0.01799999999999996
"McLain, Matt","680574","2023","403","250",0.29,0.256,0.033999999999999975,0.507,0.436,0.07100000000000001,0.37,0.332,0.03799999999999998
"Thomas, Alek","677950","2023","402","293",0.23,0.251,-0.02099999999999999,0.374,0.373,0.0010000000000000009,0.278,0.291,-0.012999999999999956
"Sánchez, Jesús","660821","2023","402","255",0.253,0.269,-0.016000000000000014,0.45,0.478,-0.02799999999999997,0.334,0.353,-0.01899999999999996
"Tauchman, Mike","643565","2023","401","255",0.252,0.267,-0.015000000000000013,0.377,0.4,-0.02300000000000002,0.33,0.345,-0.014999999999999958
"DeJong, Paul","657557","2023","400","253",0.207,0.219,-0.01200000000000001,0.355,0.361,-0.006000000000000005,0.266,0.278,-0.01200000000000001
"Urías, Ramón","602104","2023","396","260",0.264,0.226,0.038000000000000006,0.375,0.336,0.03899999999999998,0.31,0.281,0.02899999999999997
"Baty, Brett","683146","2023","389","246",0.212,0.237,-0.024999999999999994,0.323,0.382,-0.059,0.266,0.3,-0.033999999999999975
"Taylor, Michael A.","572191","2023","388","229",0.22,0.222,-0.0020000000000000018,0.442,0.433,0.009000000000000008,0.308,0.306,0.0020000000000000018
"Moustakas, Mike","519058","2023","386","265",0.247,0.217,0.03,0.392,0.352,0.040000000000000036,0.294,0.27,0.023999999999999966
"Olivares, Edward","658668","2023","385","292",0.263,0.27,-0.007000000000000006,0.452,0.456,-0.0040000000000000036,0.329,0.338,-0.009000000000000008
"Taylor, Chris","621035","2023","384","214",0.237,0.222,0.014999999999999986,0.42,0.402,0.01799999999999996,0.323,0.312,0.01100000000000001
"Chisholm Jr., Jazz","665862","2023","383","237",0.25,0.224,0.025999999999999995,0.457,0.431,0.026000000000000023,0.325,0.307,0.018000000000000016
"Ibáñez, Andy","628451","2023","383","289",0.264,0.271,-0.007000000000000006,0.433,0.446,-0.013000000000000012,0.32,0.331,-0.01100000000000001
"Yastrzemski, Mike","573262","2023","381","234",0.233,0.232,0.0010000000000000009,0.445,0.419,0.026000000000000023,0.333,0.325,0.008000000000000007
"Moreno, Gabriel","672515","2023","380","273",0.284,0.266,0.01799999999999996,0.408,0.387,0.020999999999999963,0.325,0.314,0.01100000000000001
"Fraley, Jake","641584","2023","380","266",0.256,0.261,-0.0050000000000000044,0.443,0.402,0.04099999999999998,0.338,0.328,0.010000000000000009
"Brown, Seth","664913","2023","378","245",0.222,0.237,-0.014999999999999986,0.405,0.451,-0.045999999999999985,0.298,0.322,-0.02400000000000002
"Diaz, Yainer","673237","2023","377","287",0.282,0.288,-0.006000000000000005,0.538,0.543,-0.0050000000000000044,0.354,0.36,-0.006000000000000005
"Heyward, Jason","518792","2023","377","273",0.269,0.25,0.019000000000000017,0.473,0.405,0.06799999999999995,0.348,0.319,0.02899999999999997
"Donovan, Brendan","680977","2023","371","276",0.284,0.287,-0.0030000000000000027,0.422,0.438,-0.016000000000000014,0.345,0.354,-0.009000000000000008
"Bae, Ji Hwan","678225","2023","371","247",0.231,0.222,0.009000000000000008,0.311,0.293,0.018000000000000016,0.272,0.264,0.008000000000000007
"Cabrera, Miguel","408234","2023","370","263",0.257,0.247,0.010000000000000009,0.353,0.363,-0.010000000000000009,0.299,0.301,-0.0020000000000000018
"Farmer, Kyle","571657","2023","369","252",0.256,0.252,0.0040000000000000036,0.408,0.405,0.002999999999999947,0.316,0.313,0.0030000000000000027
"O'Hearn, Ryan","656811","2023","368","268",0.289,0.264,0.024999999999999967,0.48,0.464,0.01599999999999996,0.339,0.324,0.015000000000000013
"Rogers, Jake","668670","2023","365","216",0.221,0.227,-0.006000000000000005,0.444,0.449,-0.0050000000000000044,0.312,0.321,-0.009000000000000008
"Siri, Jose","642350","2023","364","212",0.222,0.212,0.010000000000000009,0.494,0.442,0.05199999999999999,0.319,0.298,0.02100000000000002
"Trout, Mike","545361","2023","362","206",0.263,0.275,-0.01200000000000001,0.49,0.523,-0.03300000000000003,0.368,0.389,-0.02100000000000002
"Duran, Jarren","680776","2023","362","244",0.295,0.268,0.02699999999999997,0.482,0.401,0.08099999999999996,0.354,0.319,0.034999999999999976
"Anderson, Brian","605119","2023","361","213",0.226,0.231,-0.0050000000000000044,0.368,0.391,-0.02300000000000002,0.299,0.316,-0.017000000000000015
"Kiner-Falefa, Isiah","643396","2023","361","260",0.242,0.254,-0.01200000000000001,0.34,0.348,-0.007999999999999952,0.286,0.295,-0.009000000000000008
"Moncada, Yoán","660162","2023","357","228",0.26,0.257,0.0030000000000000027,0.425,0.426,-0.0010000000000000009,0.315,0.314,0.0010000000000000009
"Baddoo, Akil","668731","2023","357","226",0.218,0.218,0,0.372,0.371,0.0010000000000000009,0.299,0.301,-0.0020000000000000018
"Vázquez, Christian","543877","2023","355","247",0.223,0.226,-0.0030000000000000027,0.318,0.323,-0.0050000000000000044,0.264,0.268,-0.0040000000000000036
"Bailey, Patrick","672275","2023","353","229",0.233,0.249,-0.015999999999999986,0.359,0.42,-0.061,0.282,0.313,-0.031000000000000028
"Duvall, Adam","594807","2023","353","215",0.247,0.21,0.037000000000000005,0.531,0.436,0.09500000000000003,0.347,0.304,0.04299999999999998
"Tellez, Rowdy","642133","2023","351","230",0.215,0.238,-0.022999999999999993,0.376,0.374,0.0020000000000000018,0.288,0.306,-0.018000000000000016
"Mateo, Jorge","622761","2023","350","244",0.217,0.24,-0.022999999999999993,0.34,0.371,-0.030999999999999972,0.265,0.289,-0.023999999999999966
"Rojas, Josh","668942","2023","350","239",0.245,0.23,0.014999999999999986,0.338,0.331,0.007000000000000006,0.284,0.278,0.00599999999999995
"Walls, Taylor","670764","2023","349","212",0.201,0.203,-0.0020000000000000018,0.333,0.298,0.03500000000000003,0.287,0.277,0.009999999999999953
"Burleson, Alec","676475","2023","347","273",0.244,0.277,-0.03300000000000003,0.39,0.449,-0.059,0.3,0.337,-0.03700000000000003
"Buxton, Byron","621439","2023","347","199",0.207,0.212,-0.0050000000000000044,0.438,0.425,0.013000000000000012,0.311,0.316,-0.0050000000000000044
"Arias, Gabriel","672356","2023","345","203",0.21,0.23,-0.020000000000000018,0.352,0.407,-0.05499999999999999,0.276,0.304,-0.02799999999999997
"Pratto, Nick","668472","2023","345","172",0.232,0.209,0.02300000000000002,0.353,0.339,0.013999999999999957,0.292,0.278,0.013999999999999957
"Garver, Mitch","641598","2023","344","214",0.27,0.255,0.015000000000000013,0.5,0.493,0.007000000000000006,0.374,0.365,0.009000000000000008
"Díaz, Aledmys","649557","2023","344","254",0.229,0.235,-0.005999999999999978,0.337,0.327,0.010000000000000009,0.268,0.271,-0.0030000000000000027
"Sheets, Gavin","657757","2023","344","249",0.203,0.21,-0.0069999999999999785,0.331,0.339,-0.008000000000000007,0.261,0.267,-0.006000000000000005
"Bader, Harrison","664056","2023","344","265",0.232,0.237,-0.004999999999999977,0.348,0.379,-0.031000000000000028,0.271,0.291,-0.019999999999999962
"Sabol, Blake","666165","2023","344","197",0.235,0.199,0.035999999999999976,0.394,0.369,0.025000000000000022,0.303,0.28,0.022999999999999965
"Polanco, Jorge","593871","2023","343","217",0.255,0.251,0.0040000000000000036,0.454,0.482,-0.02799999999999997,0.34,0.348,-0.007999999999999952
"Meyers, Jake","676694","2023","341","222",0.227,0.213,0.014000000000000012,0.382,0.357,0.025000000000000022,0.297,0.283,0.014000000000000012
"Marte, Starling","516782","2023","341","248",0.248,0.261,-0.013000000000000012,0.324,0.402,-0.07800000000000001,0.278,0.312,-0.033999999999999975